model,nominal,empirical
dominantclone,0.55,0.547705
dominantclone,0.56,0.559181
dominantclone,0.57,0.569757
dominantclone,0.58,0.578726
dominantclone,0.59,0.590105
dominantclone,0.6,0.600971
dominantclone,0.61,0.611
dominantclone,0.62,0.620451
dominantclone,0.63,0.63122
dominantclone,0.64,0.640896
dominantclone,0.65,0.651537
dominantclone,0.66,0.661309
dominantclone,0.67,0.671981
dominantclone,0.68,0.6823
dominantclone,0.69,0.692362
dominantclone,0.7,0.701909
dominantclone,0.71,0.7112
dominantclone,0.72,0.720972
dominantclone,0.73,0.730552
dominantclone,0.74,0.740292
dominantclone,0.75,0.750546
dominantclone,0.76,0.761348
dominantclone,0.77,0.77112
dominantclone,0.78,0.78131
dominantclone,0.79,0.791918
dominantclone,0.8,0.802977
dominantclone,0.81,0.813424
dominantclone,0.82,0.824386
dominantclone,0.83,0.835059
dominantclone,0.84,0.844606
dominantclone,0.85,0.8565
dominantclone,0.86,0.866401
dominantclone,0.87,0.876816
dominantclone,0.88,0.886685
dominantclone,0.89,0.896618
dominantclone,0.9,0.905973
dominantclone,0.91,0.916163
dominantclone,0.92,0.926257
dominantclone,0.93,0.936158
dominantclone,0.94,0.945448
dominantclone,0.95,0.954899
dominantclone,0.96,0.963932
dominantclone,0.97,0.97274
dominantclone,0.98,0.98158
dominantclone,0.99,0.990581
dominantclone,1,1
